		Australia	New Zealand	Sweden	Austria	Belgium	Denmark	Norway	Finland	Netherlands	Czech Republic
sanitary	2498	1900	127	6	2	96	22	0	7	41	38
sar	2499	1578	133	220	5	33	57	47	1	15	2
saturday	2500	4966	880	2	0	253	3	2	2	2	9
sauce	2501	5706	1213	3	11	32	0	0	1	62	5
sausage	2502	3041	487	0	0	28	0	1	113	20	3
save	2503	39391	6469	251	22	1794	287	248	172	286	123
saver	2504	1623	196	10	1	74	8	4	1	3	2
say	2505	1499459	282668	6254	553	38445	4424	3704	2694	4309	10394
saying	2506	1221	243	1	0	17	0	0	0	12	2
scale	2507	36603	4465	534	27	2141	498	393	265	373	70
scam	2508	3654	548	5	1	319	0	0	3	59	1
scar	2509	1378	244	0	0	105	3	0	2	4	0
scare	2510	2735	621	1	1	35	0	0	2	15	6
scared	2511	2468	646	3	0	64	0	0	2	4	2
scary	2512	2542	753	5	0	45	2	0	0	17	0
scenario	2513	9917	1369	263	89	882	84	68	60	122	72
scene	2514	27747	5229	53	6	2019	13	14	84	134	91
scheme	2515	29526	4796	212	16	7333	704	991	510	220	139
school	2516	130471	24240	1320	54	11115	324	306	381	310	490
science	2517	53171	2859	2428	47	2935	552	407	398	476	110
scope	2518	9797	598	139	42	1934	176	297	210	129	13
scout	2519	3115	314	380	0	80	9	0	2	47	22
scream	2520	3159	821	1	0	29	4	0	0	17	0
screen	2521	23421	3164	421	21	1055	96	37	84	488	27
scrutiny	2522	4232	647	18	1	1076	0	3	7	26	4
sd	2523	11719	724	6880	438	1169	1203	1681	1552	1033	80
sdb	2524	318	0	1542	0	1	5	0	2	0	0
se	2525	3496	145	10483	402	477	1200	1061	427	378	534
sea	2526	22878	4340	646	41	1911	99	761	186	195	33
sean	2527	1299	104	0	0	15	0	0	0	3	0
search	2528	51899	5784	7200	657	3454	1599	2232	1790	1615	181
season	2529	164977	21809	210	30	933	129	176	173	230	99
seasonal	2530	6961	685	55	31	242	49	33	56	11	60
seat	2531	36020	5102	223	13	1187	186	26	56	560	336
second	2532	10918	2320	36	2	248	10	0	3	131	7
secondary	2533	10210	1317	366	28	1085	95	136	190	195	126
secret	2534	13103	2337	100	1	322	20	77	22	119	115
secretary	2535	104904	2288	316	25	3817	84	166	103	226	138
sector	2536	949067	31430	219358	16744	47202	43047	55330	55562	29363	2044
sectra	2537	34	0	1191	0	0	16	0	0	0	0
security	2538	152569	7578	5981	504	8826	3587	1866	3161	1591	514
see	2539	358080	58065	19389	1064	19011	5338	6124	4688	3642	1134
seed	2540	19580	3047	140	7	423	42	33	50	43	17
seek	2541	63356	7124	467	46	4736	273	291	253	361	329
seem	2542	39150	10261	92	38	1394	28	21	38	637	247
segment	2543	102502	689	2529	273	445	1173	2135	876	1083	173
seismic	2544	2605	380	62	0	65	25	2156	1	5	0
sek	2545	1887	140	63456	17	41	764	293	219	0	92
selection	2546	23745	2366	517	50	1147	90	36	302	196	36
self	2547	36842	5424	469	174	2575	102	478	202	496	117
sell	2548	509865	14099	20610	1393	6068	5721	6296	4670	3158	1003
selling	2549	145128	347	1412	44	305	113	208	94	63	27
semi	2550	14691	1195	166	14	654	114	548	80	249	17
send	2551	50105	9205	706	68	4201	454	614	222	507	395
senior	2552	216728	8313	3159	100	2900	2268	2297	1923	639	233
sense	2553	29520	5249	250	51	1185	63	137	110	553	56
sensitive	2554	8380	830	100	10	574	61	12	31	93	39
sentence	2555	14990	4127	18	4	2779	20	18	35	104	252
sentiment	2556	8650	549	11	24	110	31	20	11	34	78
sep	2557	2656	155	1234	66	121	219	253	273	62	10
ser	2558	325	2	432	0	18	24	470	0	5	0
series	2559	71418	9859	2064	41	2329	845	310	959	471	94
serious	2560	28173	5972	233	18	3541	169	34	55	146	207
seriously	2561	9064	2454	34	4	899	16	8	101	66	55
seriousness	2562	776	176	3	0	111	9	0	0	2	3
serve	2563	311974	7908	2982	279	3041	1102	2045	1836	1369	196
server	2564	14776	158	377	13	69	44	86	175	152	405
servi	2565	3194	0	0	0	5	0	0	0	0	0
service	2566	696359	25852	25271	1442	37506	10480	8520	17629	8241	1661
ses	2567	672	6	697	0	57	2	6	2	6	1
set	2568	216205	24828	9925	738	14459	3096	4729	2708	2952	574
setting	2569	12213	1174	79	8	793	73	39	42	201	11
settle	2570	16076	2730	477	31	546	156	638	98	138	60
several	2571	86229	8915	2929	122	3466	1618	1616	1022	889	538
severe	2572	12630	1693	180	1	1120	211	104	72	80	32
severely	2573	2381	523	54	7	213	49	14	14	18	11
sexual	2574	16120	2779	52	55	2067	17	0	8	171	75
sgp	2575	1431	0	9	3	59	0	2	1	0	0
shadow	2576	6054	748	8	17	252	21	1	3	26	13
shall	2577	4805	258	2680	40	10673	3570	786	1664	115	13
shape	2578	26567	3033	225	48	1431	105	64	81	484	41
share	2579	2636763	73599	392949	27117	80169	119619	193180	120120	72047	5063
shared	2580	1515	154	39	1	159	18	11	22	9	5
shareholder	2581	484988	20502	78775	6029	17937	20934	24957	24233	15237	1103
sharp	2582	8102	1382	40	6	209	41	55	43	100	63
she	2583	474905	111153	1871	129	13516	574	1700	645	1407	964
shed	2584	23418	1827	1688	109	647	270	488	270	166	36
sheet	2585	35901	1786	5292	354	1491	1356	2282	2064	1273	22
shelter	2586	7089	1142	34	1	368	5	5	17	15	10
sheriff	2587	1624	92	21	0	52	1	0	0	3	2
shield	2588	5301	680	15	0	226	23	12	21	76	7
shift	2589	26948	3977	232	18	980	155	99	131	223	80
shiny	2590	899	189	6	0	9	3	0	0	8	0
ship	2591	29808	3403	1850	63	1590	658	3199	326	309	30
shock	2592	12132	2632	28	13	418	37	1	10	76	25
shocked	2593	1347	347	10	1	33	0	0	0	4	1
shocking	2594	2488	495	1	4	158	0	0	0	12	2
shoot	2595	24150	5269	399	2	348	22	6	10	145	77
shop	2596	30728	5130	1351	20	1781	259	98	234	229	361
short	2597	150109	9146	5877	451	5115	1496	2775	2147	928	317
shortly	2598	8220	1673	110	3	900	252	252	73	151	75
shot	2599	18309	3752	200	3	176	7	11	7	87	14
should	2600	153288	26705	1493	205	23340	1190	496	507	1390	1587
shovel	2601	909	260	0	0	15	6	0	0	2	0
show	2602	280934	31705	15527	1064	13332	4276	4000	5064	3472	1039
shy	2603	2911	649	1	1	56	0	0	0	20	4
si	2604	1382	7	14	0	66	1	19	0	9	76
sick	2605	7556	1916	83	3	276	10	18	37	16	31
sickness	2606	832	228	33	0	158	3	2	11	0	14
side	2607	94454	17943	430	179	3205	197	102	151	685	186
sight	2608	9684	1877	80	3	520	9	5	11	58	31
sign	2609	128769	11142	11516	478	6383	3085	3397	3960	1983	679
signal	2610	638863	19288	166434	11427	29520	32410	46724	37476	24113	2073
significant	2611	171764	9664	24038	1194	8037	5307	6838	5600	2250	337
significantly	2612	27889	2013	4209	63	1507	1383	512	519	386	141
silence	2613	3919	934	15	3	232	6	0	3	32	10
silent	2614	2975	519	19	0	118	17	0	135	25	20
silly	2615	1710	534	1	0	23	0	0	0	17	3
silo	2616	1391	105	3	0	32	18	2	5	5	0
silver	2617	18431	2663	1554	155	1042	524	544	540	74	21
sim	2618	1167	62	7	2	6	107	2	4	6	0
simply	2619	22688	4249	43	11	1101	32	19	11	261	50
since	2620	345907	25068	16669	1091	9369	4935	5839	6253	2789	1677
single	2621	55367	6562	554	107	3675	486	193	180	595	176
sink	2622	47738	1676	7982	460	1010	1091	1988	1307	772	93
sir	2623	1740	741	6	0	233	14	1	0	1	2
siren	2624	1171	256	0	0	17	0	10	0	1	5
sister	2625	13322	2854	12	3	280	6	24	4	30	19
sit	2626	42293	8658	152	16	10146	41	17	13	204	34
site	2627	90672	10080	931	205	6576	765	758	560	773	198
six	2628	1060	399	4	2	2	0	0	0	2	1
size	2629	84335	6066	14507	1145	4389	2992	4924	4121	3026	209
sized	2630	9916	957	398	12	439	79	93	79	110	101
ski	2631	3955	707	588	6	50	12	13	56	32	38
skip	2632	3029	578	3	0	60	2	1	0	28	2
skipper	2633	4795	1162	0	0	13	1	0	3	0	0
sky	2634	12560	1982	34	4	262	8	17	9	132	16
slab	2635	1353	179	3	1	45	2	5	58	6	9
slam	2636	6195	1177	3	2	44	2	0	0	7	0
slap	2637	1948	419	0	0	53	0	0	1	22	1
slash	2638	3560	492	8	2	115	1	5	1	15	6
slaughter	2639	7240	304	7	0	168	20	23	6	32	17
sleep	2640	15991	3119	213	2	435	95	2	12	248	10
slight	2641	3818	614	29	38	143	24	6	18	47	54
slightly	2642	17016	2460	1371	207	662	430	488	456	476	211
slow	2643	32353	4307	1525	116	936	470	266	500	329	349
slowly	2644	5345	1138	7	4	139	13	1	14	42	40
small	2645	117619	15319	4397	149	6582	1407	2436	888	1040	560
smart	2646	28569	2028	1344	79	1080	424	506	273	486	92
smartphone	2647	10676	724	224	14	189	40	180	54	184	28
smell	2648	3466	1018	3	1	106	5	0	4	12	4
smelter	2649	816	449	79	2	22	17	4	50	0	0
smoke	2650	10820	2448	108	0	740	12	2	23	41	40
snake	2651	3453	328	7	1	29	1	0	0	5	0
snap	2652	7341	1083	12	0	172	5	2	16	86	2
so	2653	362839	70553	2152	265	17116	1481	1086	1315	2650	932
social	2654	81642	10185	873	103	10782	487	241	583	1866	1138
society	2655	19582	3046	412	44	3987	355	365	258	376	244
socio	2656	1015	147	14	1	290	7	5	4	41	1
sodium	2657	1604	76	11	0	370	11	0	7	15	0
sofa	2658	884	166	14	0	26	3	6	9	3	0
soft	2659	15123	1925	96	14	756	283	116	187	184	58
soften	2660	2000	460	42	2	40	3	8	5	17	21
software	2661	110332	1330	6643	109	1819	1442	1114	3732	1177	79
sol	2662	1238	32	35	0	31	0	14	0	6	1
solicitation	2663	1673	5	57	43	996	178	66	55	40	0
solid	2664	20920	2025	828	77	666	704	948	295	370	58
solidarity	2665	1052	190	8	1	393	1	0	3	16	50
solution	2666	173823	4121	12317	514	5141	4278	7044	5645	2669	205
solvent	2667	1880	45	17	0	50	3	9	3	3	3
som	2668	624	0	250	0	22	259	35	5	13	0
some	2669	282983	55579	1383	180	14710	805	693	805	2358	1897
somebody	2670	3556	794	0	0	95	0	0	0	5	15
someone	2671	30977	8208	45	3	1626	23	4	15	247	48
sometime	2672	1481	219	3	0	216	2	0	0	49	2
somewhat	2673	4969	915	108	13	189	51	37	63	45	23
somewhere	2674	5351	1509	4	0	146	7	0	2	35	12
son	2675	27448	6277	110	32	456	37	16	7	82	85
song	2676	16891	3143	30	2	421	5	19	2	130	25
soon	2677	35841	6986	271	39	1999	277	278	154	446	156
sore	2678	1856	471	13	0	52	2	7	1	3	1
sorry	2679	4178	1129	3	1	74	6	0	1	34	8
sort	2680	23384	5743	1045	265	911	620	747	579	367	32
soul	2681	4925	1007	17	4	82	2	7	0	14	8
sound	2682	28357	4920	143	11	1158	135	96	180	423	42
soup	2683	2681	446	2	0	48	2	0	2	60	9
source	2684	773103	30487	47753	2989	13458	16051	37118	18916	11018	3203
south	2685	55778	8223	400	39	2317	116	209	118	149	310
southern	2686	24759	2851	436	28	524	144	128	53	62	52
sow	2687	1707	649	3	0	67	12	0	0	55	6
sp	2688	2911	98	534	28	86	231	134	75	42	15
space	2689	85285	9110	1246	247	4021	416	173	476	1012	214
span	2690	12340	677	137	7	398	77	88	23	55	11
spare	2691	7150	1105	148	3	352	193	38	51	35	20
speak	2692	55247	10073	246	22	5304	137	10	94	413	213
special	2693	74300	7306	2145	296	4533	1812	1099	1013	556	233
specialist	2694	25556	2263	427	35	1869	212	213	309	283	70
specific	2695	35690	2492	731	42	5315	477	225	258	651	82
specification	2696	4167	381	105	5	883	54	102	20	126	3
spectacular	2697	12554	979	1613	48	291	189	376	250	116	17
speculation	2698	4494	704	20	5	89	22	7	6	33	58
speech	2699	16060	2552	82	11	1231	21	4	76	187	176
speed	2700	52734	6348	507	75	1852	252	169	396	844	152
spell	2701	4254	1154	4	2	119	9	2	1	16	2
spend	2702	78928	13589	226	27	2853	182	310	134	436	392
spin	2703	10716	1213	203	3	118	61	55	21	67	9
spiral	2704	1938	284	11	0	62	0	0	0	5	3
spirit	2705	14743	1817	91	17	613	42	68	86	155	53
spiritual	2706	2286	396	4	2	55	0	0	1	9	10
split	2707	12574	1720	1145	42	566	370	415	84	136	63
sponsor	2708	27384	1528	222	54	1247	218	174	28	308	49
sport	2709	66128	11591	1427	16	2896	532	357	521	272	234
spot	2710	41427	7144	706	137	955	309	476	342	255	117
spray	2711	6939	1026	111	7	184	14	11	20	52	11
spread	2712	40797	4523	1567	227	2001	471	1539	690	811	311
squad	2713	13325	4573	6	0	75	0	0	0	9	22
square	2714	28308	2372	570	26	672	185	196	115	155	216
squeeze	2715	3273	734	5	7	100	4	17	10	21	25
st	2716	511	22	4537	4	71	6	0	0	0	182
stable	2717	21633	1577	794	136	802	396	402	184	270	70
stack	2718	7113	788	210	4	56	61	135	16	132	0
stadium	2719	15557	3113	30	3	310	206	3	5	13	22
staff	2720	79051	15424	770	59	9670	516	296	261	336	298
stage	2721	66106	9525	1025	36	4254	591	655	325	919	220
stakeholder	2722	10933	598	188	9	2649	291	243	141	270	4
stand	2723	63194	10200	3154	275	2966	978	357	1385	966	370
standard	2724	59060	5957	2414	210	7685	829	887	732	1136	191
star	2725	61953	8171	1166	11	833	61	15	27	189	52
start	2726	390849	40039	28727	2543	15888	7509	10788	10140	7688	1746
stat	2727	11500	330	0	11	36	11	0	0	23	8
state	2728	228730	12127	5266	1535	14184	4807	3937	1309	2457	2814
statement	2729	85150	7274	6492	511	4921	4059	4315	5868	1320	370
states	2730	4319	12	2394	0	84	399	648	118	62	0
station	2731	49630	5216	923	111	2975	244	330	434	480	479
statistic	2732	8636	1438	146	16	1283	121	39	163	65	177
stay	2733	55523	10130	316	45	2525	184	76	189	296	430
steady	2734	188191	5014	18816	2683	6015	5277	7602	10658	4710	377
steam	2735	6431	656	93	9	133	18	71	144	146	25
step	2736	75321	9769	1433	158	5219	749	555	471	1094	417
stiff	2737	1008	191	1	0	24	2	2	1	13	0
still	2738	130055	29879	507	118	5585	627	362	450	1261	684
stimulation	2739	1858	37	29	1	40	24	11	146	34	0
stint	2740	4017	821	0	0	29	0	0	1	3	0
stock	2741	2295989	61140	449998	35576	85701	97730	140521	119292	68571	5147
stoke	2742	2155	709	7	1	400	0	0	0	3	0
stop	2743	56103	11982	247	32	3393	109	300	91	424	201
storage	2744	42592	1872	762	56	1311	424	1169	198	543	136
store	2745	78044	7597	2809	142	1924	1295	983	1237	937	164
storm	2746	20285	2379	112	2	244	27	889	4	56	5
story	2747	76764	11414	6108	103	2684	982	1358	1162	521	218
str	2748	3811	112	245	345	101	112	103	119	53	17
straight	2749	21886	4241	202	14	311	42	38	37	105	17
strait	2750	3801	350	6	2	56	1	2	1	0	1
strange	2751	3989	1195	7	1	97	6	6	48	28	10
strategic	2752	60640	1705	1871	166	2692	1527	889	633	588	117
streamline	2753	4764	136	226	8	186	58	104	90	32	6
street	2754	54003	7188	250	73	4390	1110	84	88	317	94
strength	2755	291005	10372	74506	4651	13225	14630	20094	17203	9051	401
strengthen	2756	38769	2021	5526	287	3612	2001	1888	1724	868	177
stress	2757	23833	2922	68	89	2463	33	15	45	135	114
strike	2758	28494	6246	91	8	1173	222	505	64	143	85
string	2759	6528	1042	17	11	142	8	2	11	53	15
stroke	2760	10738	996	101	0	238	32	61	27	32	2
strong	2761	143413	13678	14457	484	5683	4771	5426	3253	1842	565
strongly	2762	10508	1617	188	11	804	196	57	223	100	52
structural	2763	8740	512	214	17	1132	63	133	45	180	45
structure	2764	45309	2344	1013	172	2256	806	799	920	888	108
struggle	2765	26426	5994	56	11	830	35	15	29	124	79
student	2766	121213	12901	415	5	12401	169	66	299	333	443
study	2767	84295	7420	4617	271	10137	1717	825	617	1269	413
stuff	2768	11614	9576	2	2	94	8	0	0	102	6
stumble	2769	1739	416	1	0	37	2	0	2	11	4
stunt	2770	1523	265	7	0	26	3	0	0	10	0
stupid	2771	1823	545	1	0	47	1	0	0	17	6
style	2772	30964	4470	52	2	648	25	33	18	189	40
sub	2773	16328	1642	226	129	912	78	153	60	187	17
submission	2774	10843	1913	193	26	1348	275	90	15	25	7
subscription	2775	11231	419	3066	12	399	1639	4057	2567	180	12
substance	2776	7986	939	489	23	2244	75	5	20	78	69
substantial	2777	101608	4143	241	30	1016	254	558	87	111	12
subtle	2778	1865	441	2	5	40	3	0	0	40	3
suburb	2779	13587	1948	4	0	26	3	12	2	10	5
subway	2780	1219	111	16	0	43	3	32	0	2	0
succeed	2781	9541	959	230	23	601	104	102	126	138	118
successful	2782	46559	4151	926	111	3282	535	815	287	371	186
successive	2783	2797	613	23	0	167	3	14	2	10	2
successor	2784	2849	327	155	16	136	51	38	50	53	42
such	2785	214661	21658	5405	359	18483	3909	1837	2052	3527	1031
sudden	2786	4221	919	163	9	158	30	43	41	18	14
suddenly	2787	4750	1289	20	0	125	1	1	4	42	10
suitable	2788	9440	1165	176	12	4044	123	46	87	90	66
summary	2789	252403	7304	45215	3543	14206	10429	14770	13728	8773	913
summer	2790	38015	6937	264	23	1812	279	276	353	90	206
summit	2791	9530	930	83	31	1292	13	8	24	58	175
sun	2792	11792	2175	74	5	5734	33	27	17	99	6
sunday	2793	2455	323	2	0	95	3	1	5	2	15
sunflower	2794	1004	128	1	0	18	1	0	0	6	0
super	2795	21471	2436	60	2	186	23	13	13	110	44
superb	2796	2900	740	0	0	90	4	3	5	17	14
supermarket	2797	8802	2512	159	6	252	55	21	43	147	45
supervisory	2798	2353	18	27	194	349	50	82	51	530	59
supply	2799	102352	8498	4401	466	6830	1338	1267	1533	1348	444
support	2800	340630	25647	13047	824	33835	4310	4928	3651	4035	1429
supportive	2801	5465	891	12	7	389	17	16	47	41	6
supposedly	2802	1017	273	4	1	39	0	0	0	23	1
surcharge	2803	1721	37	2	3	327	2	0	0	3	12
sure	2804	47594	9530	112	6	2871	59	32	55	344	50
surely	2805	4140	1320	12	2	108	3	0	4	28	4
surf	2806	6525	843	0	0	31	4	14	0	7	0
surface	2807	36740	2277	663	91	891	225	285	112	802	148
surfing	2808	2361	289	40	0	20	1	0	0	1	0
surgeon	2809	4000	452	75	0	187	20	45	6	30	7
surplus	2810	6911	967	1439	251	389	776	87	61	24	167
surprise	2811	16147	3280	154	17	313	26	46	37	103	48
surprisingly	2812	2685	637	8	4	73	3	0	6	41	17
survey	2813	37740	3521	179	35	2893	253	1478	296	211	551
surveyor	2814	1271	91	1	0	120	1	1	0	10	4
suspect	2815	12951	2405	77	1	1852	9	6	38	137	278
suspicion	2816	1776	380	15	11	1032	7	34	6	21	97
sustainability	2817	13131	824	625	56	1259	503	363	452	410	22
suv	2818	3580	1676	137	0	9	0	0	4	507	37
swarm	2819	863	211	0	0	8	1	0	0	7	0
sweden	2820	30	7	19620	0	7	7	4	2	3	2
sweep	2821	6007	1209	15	0	136	5	5	1	22	11
sweet	2822	10080	1446	4	14	144	23	6	9	67	5
swiftly	2823	1522	241	12	1	206	13	2	2	28	4
swim	2824	7541	1705	5	0	134	5	1	2	3	6
swimmer	2825	3064	582	1	0	30	0	0	1	3	2
swiss	2826	10753	297	63	47	189	65	29	23	37	40
switch	2827	21389	2131	590	21	582	113	62	181	310	53
sword	2828	1472	240	8	0	29	0	2	1	6	5
symbol	2829	6246	369	360	8	465	124	123	78	154	39
synlait	2830	1198	94	0	0	0	0	0	0	0	0
synthetic	2831	5827	641	276	2	167	18	166	22	111	3
system	2832	297091	13265	15491	912	17089	4528	3658	4745	6494	929
systematic	2833	1750	152	30	3	343	17	7	26	60	7
systemic	2834	2721	265	69	2	248	25	6	4	52	14
ta	2835	882	54	31	1	99	6	8	6	51	59
tab	2836	3458	237	9	0	150	4	2	1	57	4
table	2837	45360	5203	6690	886	4669	2243	2631	2555	1498	198
tactical	2838	2896	300	31	0	49	12	20	58	5	9
tail	2839	4204	842	4	1	72	11	3	2	115	2
take	2840	444864	71492	12438	890	33654	4449	5488	3599	4040	1639
taking	2841	1565	232	18	4	222	3	8	1	16	9
tale	2842	5335	1235	16	1	191	6	0	0	26	8
talented	2843	9381	1035	100	0	337	40	15	22	133	7
talk	2844	63928	13205	2167	49	4009	46	16	82	376	491
tandem	2845	1229	134	10	0	21	2	0	1	4	3
tank	2846	10141	1161	104	22	512	15	211	16	228	59
taree	2847	1096	5	0	0	0	0	0	0	0	0
target	2848	96076	6667	2259	274	5585	1521	1422	1369	1115	164
taskforce	2849	1708	135	0	0	93	0	0	0	3	0
tasman	2850	1687	3074	0	0	0	0	6	0	1	0
tasmanian	2851	6650	40	0	0	2	0	0	0	0	0
taste	2852	12070	2371	31	4	224	26	5	19	70	53
taupo	2853	43	1296	0	0	0	0	0	0	0	0
tax	2854	341815	16004	42365	4404	17436	13588	19501	15337	9664	972
taxi	2855	4090	664	18	0	636	7	14	13	27	29
taxis	2856	14062	1031	1727	610	1898	419	1664	2794	351	127
te	2857	287	474	320	0	18	0	0	1	2	1
tea	2858	16246	1975	38	0	530	12	13	2	129	14
team	2859	277773	37531	1967	82	9750	1034	1626	1049	1350	349
tech	2860	26806	1476	1624	115	712	260	776	214	864	20
technical	2861	402127	6757	61387	3853	16212	12475	16459	13521	9013	951
teen	2862	6769	1571	58	0	151	1	0	7	40	33
teenager	2863	8221	1963	2	1	515	1	0	0	24	14
telegraph	2864	892	606	1	0	17	30	0	0	5	0
tell	2865	139556	27797	135	76	4323	73	7	100	674	2321
temp	2866	935	79	46	2	24	1	0	0	3	4
temper	2867	1532	228	2	0	20	5	2	0	5	3
temporarily	2868	4031	497	200	4	377	177	116	114	63	43
temporary	2869	12668	1402	387	31	1615	262	261	463	199	52
ten	2870	4393	750	20	0	174	9	2	23	23	125
tenant	2871	11530	2286	633	20	905	139	39	18	60	21
tend	2872	9669	2119	8	7	719	14	3	6	129	55
tender	2873	14546	1058	516	52	3280	778	439	1388	105	400
tennis	2874	10697	1695	63	0	205	12	0	0	11	43
term	2875	298650	21391	49547	4032	18577	13662	18342	14992	9222	1215
terminal	2876	18886	990	742	138	440	120	396	519	473	28
terrible	2877	3949	916	6	1	198	1	1	1	28	6
terrifying	2878	1024	268	0	0	51	0	0	0	8	0
test	2879	95792	20450	1949	116	4657	969	678	595	999	445
tether	2880	1015	63	6	0	46	1	0	7	13	0
text	2881	41330	2173	670	206	4727	398	773	413	430	71
th	2882	7268	202	244	54	163	96	360	98	37	27
thame	2883	632	371	0	2	243	0	0	0	0	0
than	2884	1085501	74466	129326	12078	44834	32294	46844	39711	25925	3604
thank	2885	46578	5753	425	95	3575	310	189	422	414	377
thankfully	2886	1471	338	2	1	176	0	0	0	38	0
thanksgiving	2887	2913	75	1	0	12	0	0	0	3	0
that	2888	2218419	319143	55013	3798	141916	24548	21436	18130	27224	9590
the	2889	25966824	2258492	2398086	184331	1476553	652475	860205	708941	484238	113151
theft	2890	6949	944	55	1	1217	8	0	2	32	29
their	2891	789973	118289	8389	781	50477	5358	3032	4566	5655	3100
theme	2892	17550	1678	114	9	1151	52	5	60	170	24
themselves	2893	29465	6237	135	24	1924	151	21	93	287	128
then	2894	177668	35752	13874	939	9041	2651	3619	2962	2841	664
theory	2895	5774	1017	104	22	443	11	3	6	275	15
therapeutic	2896	22375	167	2797	98	1356	232	355	24	107	0
there	2897	679590	106366	56973	3810	31375	11833	16284	13499	11298	2049
therefore	2898	14514	1628	670	105	4867	697	444	241	408	150
these	2899	225953	25067	5085	631	20959	2833	3198	2218	4119	699
they	2900	910041	200038	8287	641	52908	3522	2226	2854	6788	3958
thing	2901	120512	28066	779	62	3047	357	175	208	1069	173
think	2902	165782	35513	202	74	5125	122	48	77	908	221
third	2903	21515	745	2063	412	1217	506	2212	776	189	160
this	2904	1854623	157204	162594	13887	139546	44355	59450	46227	39599	6438
thorough	2905	2925	330	39	2	306	51	63	19	52	16
those	2906	185732	33039	5668	358	15781	1422	1713	1754	2268	571
though	2907	37963	8798	196	86	1062	117	97	98	579	235
thought	2908	14419	2793	44	21	738	13	12	19	107	7
thousand	2909	25183	3950	575	5	1428	63	25	61	166	131
threat	2910	28732	3743	185	43	2377	50	13	149	159	214
thrilled	2911	10543	519	18	0	271	36	35	6	6	0
thriller	2912	1742	439	1	0	21	5	0	10	1	3
throat	2913	2135	565	22	1	68	4	3	12	7	2
through	2914	356181	35472	12987	1270	15860	5359	7906	3733	4527	568
throughout	2915	65156	5723	1616	87	3089	652	855	653	518	53
thursday	2916	2106	310	12	1	162	4	3	17	1	1
ti	2917	1265	26	3	0	10	0	7	0	2	6
ticket	2918	28570	4148	38	9	1410	274	3	254	118	87
tidal	2919	936	177	74	0	135	49	9	0	12	0
tide	2920	3496	877	4	0	104	7	83	0	7	1
